time,x,y,z,temperature
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.07142857142857142,0.0
1.0,0.0,0.0,0.14285714285714285,0.0
1.0,0.0,0.0,0.21428571428571427,0.0
1.0,0.0,0.0,0.2857142857142857,0.0
1.0,0.0,0.0,0.3571428571428571,0.0
1.0,0.0,0.0,0.42857142857142855,0.0
1.0,0.0,0.0,0.5,0.0
1.0,0.0,0.0,0.5714285714285714,0.0
1.0,0.0,0.0,0.6428571428571428,0.0
1.0,0.0,0.0,0.7142857142857142,0.0
1.0,0.0,0.0,0.7857142857142857,0.0
1.0,0.0,0.0,0.8571428571428571,0.0
1.0,0.0,0.0,0.9285714285714285,0.0
1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.07142857142857142,0.0,0.0
1.0,0.0,0.07142857142857142,0.07142857142857142,0.0
1.0,0.0,0.07142857142857142,0.14285714285714285,0.0
1.0,0.0,0.07142857142857142,0.21428571428571427,0.0
1.0,0.0,0.07142857142857142,0.2857142857142857,0.0
1.0,0.0,0.07142857142857142,0.3571428571428571,0.0
1.0,0.0,0.07142857142857142,0.42857142857142855,0.0
1.0,0.0,0.07142857142857142,0.5,0.0
1.0,0.0,0.07142857142857142,0.5714285714285714,0.0
1.0,0.0,0.07142857142857142,0.6428571428571428,0.0
1.0,0.0,0.07142857142857142,0.7142857142857142,0.0
1.0,0.0,0.07142857142857142,0.7857142857142857,0.0
1.0,0.0,0.07142857142857142,0.8571428571428571,0.0
1.0,0.0,0.07142857142857142,0.9285714285714285,0.0
1.0,0.0,0.07142857142857142,1.0,0.0
1.0,0.0,0.14285714285714285,0.0,0.0
1.0,0.0,0.14285714285714285,0.07142857142857142,0.0
1.0,0.0,0.14285714285714285,0.14285714285714285,0.0
1.0,0.0,0.14285714285714285,0.21428571428571427,0.0
1.0,0.0,0.14285714285714285,0.2857142857142857,0.0
1.0,0.0,0.14285714285714285,0.3571428571428571,0.0
1.0,0.0,0.14285714285714285,0.42857142857142855,0.0
1.0,0.0,0.14285714285714285,0.5,0.0
1.0,0.0,0.14285714285714285,0.5714285714285714,0.0
1.0,0.0,0.14285714285714285,0.6428571428571428,0.0
1.0,0.0,0.14285714285714285,0.7142857142857142,0.0
1.0,0.0,0.14285714285714285,0.7857142857142857,0.0
1.0,0.0,0.14285714285714285,0.8571428571428571,0.0
1.0,0.0,0.14285714285714285,0.9285714285714285,0.0
1.0,0.0,0.14285714285714285,1.0,0.0
1.0,0.0,0.21428571428571427,0.0,0.0
1.0,0.0,0.21428571428571427,0.07142857142857142,0.0
1.0,0.0,0.21428571428571427,0.14285714285714285,0.0
1.0,0.0,0.21428571428571427,0.21428571428571427,0.0
1.0,0.0,0.21428571428571427,0.2857142857142857,0.0
1.0,0.0,0.21428571428571427,0.3571428571428571,0.0
1.0,0.0,0.21428571428571427,0.42857142857142855,0.0
1.0,0.0,0.21428571428571427,0.5,0.0
1.0,0.0,0.21428571428571427,0.5714285714285714,0.0
1.0,0.0,0.21428571428571427,0.6428571428571428,0.0
1.0,0.0,0.21428571428571427,0.7142857142857142,0.0
