time,x,y,z,temperature
1.0,0.0,0.0,0.0,-0.002380385
1.0,0.0,0.0,0.07142857142857142,-0.00069646444
1.0,0.0,0.0,0.14285714285714285,-0.00087883975
1.0,0.0,0.0,0.21428571428571427,-0.0024345806
1.0,0.0,0.0,0.2857142857142857,-0.0044201454
1.0,0.0,0.0,0.3571428571428571,-0.0055323234
1.0,0.0,0.0,0.42857142857142855,-0.005050688
1.0,0.0,0.0,0.5,-0.004268571
1.0,0.0,0.0,0.5714285714285714,-0.005375116
1.0,0.0,0.0,0.6428571428571428,-0.0071243336
1.0,0.0,0.0,0.7142857142857142,-0.006418242
1.0,0.0,0.0,0.7857142857142857,-0.003316245
1.0,0.0,0.0,0.8571428571428571,7.9856254e-05
1.0,0.0,0.0,0.9285714285714285,0.0019026855
1.0,0.0,0.0,1.0,0.0010274881
1.0,0.07142857142857142,0.0,0.0,-0.0028335592
1.0,0.07142857142857142,0.0,0.07142857142857142,-3.327336e-05
1.0,0.07142857142857142,0.0,0.14285714285714285,0.0009887228
1.0,0.07142857142857142,0.0,0.21428571428571427,0.00083159003
1.0,0.07142857142857142,0.0,0.2857142857142857,0.00045311544
1.0,0.07142857142857142,0.0,0.3571428571428571,0.0010995576
1.0,0.07142857142857142,0.0,0.42857142857142855,0.0031605968
1.0,0.07142857142857142,0.0,0.5,0.004380838
1.0,0.07142857142857142,0.0,0.5714285714285714,0.0018661777
1.0,0.07142857142857142,0.0,0.6428571428571428,-0.001913189
1.0,0.07142857142857142,0.0,0.7142857142857142,-0.0026415652
1.0,0.07142857142857142,0.0,0.7857142857142857,-0.000609166
1.0,0.07142857142857142,0.0,0.8571428571428571,0.0016573155
1.0,0.07142857142857142,0.0,0.9285714285714285,0.0021217028
1.0,0.07142857142857142,0.0,1.0,-0.00035112258
1.0,0.14285714285714285,0.0,0.0,-0.0035312166
1.0,0.14285714285714285,0.0,0.07142857142857142,-0.00026000943
1.0,0.14285714285714285,0.0,0.14285714285714285,0.00092268083
1.0,0.14285714285714285,0.0,0.21428571428571427,0.000830994
1.0,0.14285714285714285,0.0,0.2857142857142857,0.0006694803
1.0,0.14285714285714285,0.0,0.3571428571428571,0.0019984255
